,Course Name,Credirs,Group Name,Preq,Department,Year,Semester
CS101,Introduction to Computer Science,3,BcompR,0,is,First Year,First Semester
EE101,Electronics,3,ScienceR,0,is,First Year,First Semester
HU111,English Language I,2,HumanityR,0,is,First Year,First Semester
HU131,Business Administration,2,HumanityE,0,is,First Year,First Semester
HU152,History of Computing,2,HumanityR,0,is,First Year,First Semester
M000,Mathematics 0/Biology 0,0,UniversityX,0,is,First Year,First Semester
MA101,Mathematics I,3,ScienceR,0,is,First Year,First Semester
PH101,Physics I,3,ScienceR,0,is,First Year,First Semester
CS141,Programming Fundamentals,3,BcompR,CS101,is,First Year,Second Semester
EE102,Digital logic and design,2,ScienceR,EE101,is,First Year,Second Semester
HU112,English Language II,2,HumanityR,0,is,First Year,Second Semester
HU132,Interpersonal Communication,2,HumanityE,0,is,First Year,Second Semester
HU154,Scientific Thinking,1,HumanityE,0,is,First Year,Second Semester
HU241,Computers and Ethics,1,HumanityE,0,is,First Year,Second Semester
IS101,Foundations of Information Systems,3,BcompR,CS101,is,First Year,Second Semester
MA102,Mathematics II,3,ScienceR,MA101,is,First Year,Second Semester
CS201,Discrete Structures,3,ScienceR,MA101,is,Second Year,First Semester
CS241,Object-Oriented Programming,3,BcompR,CS141,is,Second Year,First Semester
IS211,Databases,3,BcompR,IS101,is,Second Year,First Semester
IS231,Systems Analysis and Design,3,BcompR,IS101,is,Second Year,First Semester
IT251,Data Communications,3,BcompR,CS101,is,Second Year,First Semester
MA201,Mathematics III,3,ScienceR,MA102,is,Second Year,First Semester
CS211,Data Structures and Algorithms,3,BcompR,CS241,is,Second Year,Second Semester
CS221,Computer Architecture,3,BcompR,"CS141,CS201",is,Second Year,Second Semester
CS301,Operation Reasearch,3,BcompR,0,is,Second Year,Second Semester
EE201,Digital Signal Processing,2,ScienceR,"EE101,EE102",is,Second Year,Second Semester
HU232,Technical Writing,2,HumanityR,HU111,is,Second Year,Second Semester
IS221,Project Management,2,BcompR,"IS101,IS231",is,Second Year,Second Semester
MA202,Probability and Statistics,2,ScienceR,MA102,is,Second Year,Second Semester
CS351,Computer Graphics Fundamental,3,BcompR,"CS101,CS201",is,Third Year,First Semester
CS391,Software Engineering,3,BcompR,CS211,is,Third Year,First Semester
IS441,Quality Assurance of Information Systems,3,SpecialE,IS101,is,Third Year,First Semester
IS342,Strategy Management and Acquisition,3,SpecialR,IS101,is,Third Year,First Semester
IS341,Decision Support Systems,3,SpecialR,IS101,is,Third Year,First Semester
IS412,Distributed and Object Databases,3,SpecialR,IS211,is,Third Year,First Semester
IT351,Computer Networks,3,BcompR,IT251,is,Third Year,Second Semester
IS311,Geographical Information Systems,3,SpecialR,IS211,is,Third Year,Second Semester
IS312,Distributed Databases Systems,3,SpecialR,IS412,is,Third Year,Second Semester
IS313,Data Warehousing,3,SpecialR,IS211,is,Third Year,Second Semester
IT271,Web Programming,3,SpecialR,"CS141,IT251",is,Third Year,Second Semester
CS381,Software Development,3,BcompR,CS391,is,Third Year,Second Semester
IT411,Information Assurance and Security,3,SpecialE,IT351,is,Fourth Year,First Semester
IT441,Enterprise Architecture,3,SpecialE,IT351,is,Fourth Year,First Semester
MM301,Introduction to Multimedia Technology,3,SpecialE,CS241,is,Fourth Year,First Semester
IS418,Analysis and Design of Information Systems,3,SpecialR,"IS211,IS231",is,Fourth Year,First Semester
IS414,Data Mining,3,SpecialR,"IS101,MA202",is,Fourth Year,First Semester
PRO401,Capstone Project 1,3,Training,0,is,Fourth Year,Second Semester
PRO402,Capstone Project 2,3,Training,PRO401,is,Fourth Year,Second Semester
IS317,Advanced Database,3,SpecialR,IS211,is,,
IS416,Transaction Processing,3,SpecialR,IS211,is,,
IS443,Data Modeling,3,SpecialR,IS211,is,,
TR304,Trainning,3,Training,0,g,,
IS315,Semantic Web and Graph Databases,3,SpecialR,IS101,is,,
CS261,Artificial Intelligence,3,BcompR,"CS101,CS201",is,,
CS322,Operating Systems,3,BcompR,CS221,is,,
HU231,Organizational Behavior,2,HumanityE,0,is,,
MA203,Numerical Analysis,2,ScienceR,MA102,is,,
IS411,DevOps Foundations,3,SpecialE,IS211,is,,
IS413,Web Information Systems,3,SpecialE,"IS211,CS241",is,,
IS417,Multimedia Databases,3,SpecialE,"IS211,CS241",is,,
IS442,Social Information Systems,3,SpecialE,"IS211,IS241",is,,
IT372,E-commerce technology,3,SpecialE,"IS211,CS241",is,,
IS212,Introduction to Data Science,3,SpecialR,IS211,is,,
IS314,Information Security,3,SpecialR,IS101,is,,
IS415,Database Administration,3,SpecialR,IS211,is,,
HU105,Social issues and human rights,0,University,0,is,,
HU121,Social Context of Computing,2,HumanityE,0,is,,
HU122,Intellectual Property,2,HumanityE,0,is,,
HU133,Computing Economics,2,HumanityE,0,is,,
HU141,Computer Law,2,HumanityR,0,is,,
HU142,Human rights and anti-corruption,2,HumanityR,0,is,,
